h2s,tz=0,v=1.6
time,h2s,so2,T101_Mode
1696118400,2.000e-01,NaN,1
1696118460,NaN,NaN,1
1696118520,NaN,NaN,2
1696118580,NaN,NaN,2
1696118640,NaN,NaN,2
1696118700,NaN,2.000e-01,2
1696118760,NaN,2.000e-01,2
1696118820,NaN,2.000e-01,2
1696118880,NaN,2.000e-01,2
1696118940,NaN,2.000e-01,2
1696119000,NaN,2.000e-01,2
1696119060,NaN,NaN,2
1696119120,NaN,NaN,1
1696119180,NaN,NaN,1
1696119240,NaN,NaN,1
1696119300,2.000e-01,NaN,1
1696119360,2.000e-01,NaN,1
1696119420,2.000e-01,NaN,1
1696119480,2.000e-01,NaN,1
1696119540,2.000e-01,NaN,1
1696119600,2.000e-01,NaN,1
1696119660,NaN,NaN,1
1696119720,NaN,NaN,2
1696119780,NaN,NaN,2
1696119840,NaN,NaN,2
1696119900,NaN,2.000e-01,2
1696119960,NaN,2.000e-01,2
1696120020,NaN,2.000e-01,2
1696120080,NaN,2.000e-01,2
1696120140,NaN,2.000e-01,2
1696120200,NaN,2.000e-01,2
1696120260,NaN,NaN,2
1696120320,NaN,NaN,1
1696120380,NaN,NaN,1
1696120440,NaN,NaN,1
1696120500,2.000e-01,NaN,1
1696120560,2.000e-01,NaN,1
1696120620,2.000e-01,NaN,1
1696120680,2.000e-01,NaN,1
1696120740,2.000e-01,NaN,1
1696120800,2.000e-01,NaN,1
1696120860,NaN,NaN,1
1696120920,NaN,NaN,2
1696120980,NaN,NaN,2
1696121040,NaN,NaN,2
1696121100,NaN,2.000e-01,2
1696121160,NaN,2.000e-01,2
1696121220,NaN,2.000e-01,2
1696121280,NaN,2.000e-01,2
1696121340,NaN,2.000e-01,2
1696121400,NaN,2.000e-01,2
1696121460,NaN,2.000e-01,2
1696121520,NaN,NaN,2
1696121580,NaN,NaN,1
1696121640,NaN,NaN,1
1696121700,NaN,NaN,1
1696121760,2.000e-01,NaN,1
1696121820,2.000e-01,NaN,1
1696121880,4.150e-01,NaN,1
1696121940,4.510e-01,NaN,1
1696122000,4.670e-01,NaN,1
1696122060,4.610e-01,NaN,1
1696122120,NaN,NaN,1
1696122180,NaN,NaN,2
1696122240,NaN,NaN,2
1696122300,NaN,NaN,2
1696122360,NaN,2.000e-01,2
1696122420,NaN,2.000e-01,2
1696122480,NaN,2.000e-01,2
1696122540,NaN,2.000e-01,2
1696122600,NaN,2.000e-01,2
1696122660,NaN,4.230e-01,2
1696122720,NaN,NaN,2
1696122780,NaN,NaN,1
1696122840,NaN,NaN,1
1696122900,NaN,NaN,1
1696122960,NaN,NaN,1
1696123020,4.340e-01,NaN,1
1696123080,4.300e-01,NaN,1
1696123140,4.050e-01,NaN,1
1696123200,2.000e-01,NaN,1
1696123260,2.000e-01,NaN,1
1696123320,NaN,NaN,1
1696123380,NaN,NaN,2
1696123440,NaN,NaN,2
1696123500,NaN,NaN,2
1696123560,NaN,4.480e-01,2
1696123620,NaN,4.430e-01,2
1696123680,NaN,4.340e-01,2
1696123740,NaN,4.080e-01,2
1696123800,NaN,2.000e-01,2
1696123860,NaN,4.170e-01,2
1696123920,NaN,NaN,2
1696123980,NaN,NaN,1
1696124040,NaN,NaN,1
1696124100,NaN,NaN,1
