h2s,tz=0,v=1.6
time,h2s,so2,T101_Mode
1688180940,NaN,NaN,1
1688181000,NaN,NaN,1
1688181060,NaN,NaN,1
1688181120,NaN,NaN,1
1688181180,2.000e-01,NaN,1
1688181240,2.000e-01,NaN,1
1688181300,2.000e-01,NaN,1
1688181360,2.000e-01,NaN,1
1688181420,2.000e-01,NaN,1
1688181480,NaN,NaN,1
1688181540,NaN,NaN,2
1688181600,NaN,NaN,2
1688181660,NaN,NaN,2
1688181720,NaN,NaN,2
1688181780,NaN,NaN,2
1688181840,NaN,2.000e-01,2
1688181900,NaN,2.000e-01,2
1688181960,NaN,2.000e-01,2
1688182020,NaN,2.000e-01,2
1688182080,NaN,NaN,2
1688182140,NaN,NaN,1
1688182200,NaN,NaN,1
1688182260,NaN,NaN,1
1688182320,NaN,NaN,1
1688182380,4.480e-01,NaN,1
1688182440,4.950e-01,NaN,1
1688182500,5.080e-01,NaN,1
1688182560,4.960e-01,NaN,1
1688182620,4.830e-01,NaN,1
1688182680,NaN,NaN,1
1688182740,NaN,NaN,2
1688182800,NaN,NaN,2
1688182860,NaN,NaN,2
1688182920,NaN,NaN,2
1688182980,NaN,2.000e-01,2
1688183040,NaN,2.000e-01,2
1688183100,NaN,2.000e-01,2
1688183160,NaN,2.000e-01,2
1688183220,NaN,2.000e-01,2
1688183280,NaN,NaN,2
1688183340,NaN,NaN,1
1688183400,NaN,NaN,1
1688183460,NaN,NaN,1
1688183520,NaN,NaN,1
1688183580,5.150e-01,NaN,1
1688183640,5.540e-01,NaN,1
1688183700,5.650e-01,NaN,1
1688183760,5.680e-01,NaN,1
1688183820,5.590e-01,NaN,1
1688183880,NaN,NaN,1
1688183940,NaN,NaN,2
1688184000,NaN,NaN,2
1688184060,NaN,NaN,2
1688184120,NaN,NaN,2
1688184180,NaN,2.000e-01,2
1688184240,NaN,2.000e-01,2
1688184300,NaN,2.000e-01,2
1688184360,NaN,2.000e-01,2
1688184420,NaN,2.000e-01,2
1688184480,NaN,NaN,2
1688184540,NaN,NaN,1
1688184600,NaN,NaN,1
1688184660,NaN,NaN,1
1688184720,NaN,NaN,1
1688184780,6.280e-01,NaN,1
1688184840,6.770e-01,NaN,1
1688184900,6.580e-01,NaN,1
1688184960,6.250e-01,NaN,1
1688185020,5.830e-01,NaN,1
1688185080,NaN,NaN,1
1688185140,NaN,NaN,2
1688185200,NaN,NaN,2
1688185260,NaN,NaN,2
1688185320,NaN,2.000e-01,2
1688185380,NaN,2.000e-01,2
1688185440,NaN,2.000e-01,2
1688185500,NaN,2.000e-01,2
1688185560,NaN,2.000e-01,2
