h2s,tz=0,v=1.6
time,h2s,so2,T101_Mode
1681599720,NaN,NaN,-1
1681599780,NaN,NaN,-1
1681599840,NaN,NaN,-1
1681599900,NaN,NaN,2
1681599960,NaN,NaN,2
1681600020,NaN,NaN,2
1681600080,NaN,2.000e-01,2
1681600140,NaN,2.000e-01,2
1681600200,NaN,2.000e-01,2
1681600260,NaN,2.000e-01,2
1681600320,NaN,2.000e-01,2
1681600380,NaN,2.000e-01,2
1681600440,NaN,NaN,2
1681600500,NaN,NaN,1
1681600560,NaN,NaN,1
1681600620,NaN,NaN,1
1681600680,NaN,NaN,1
1681600740,2.000e-01,NaN,1
1681600800,2.000e-01,NaN,1
1681600860,2.000e-01,NaN,1
1681600920,2.000e-01,NaN,1
1681600980,2.000e-01,NaN,1
1681601040,NaN,NaN,1
1681601100,NaN,NaN,2
1681601160,NaN,NaN,2
1681601220,NaN,NaN,2
1681601280,NaN,NaN,2
1681601340,NaN,2.000e-01,2
1681601400,NaN,2.000e-01,2
1681601460,NaN,2.000e-01,2
1681601520,NaN,2.000e-01,2
1681601580,NaN,2.000e-01,2
1681601640,NaN,NaN,2
1681601700,NaN,NaN,1
1681601760,NaN,NaN,1
1681601820,NaN,NaN,1
1681601880,2.000e-01,NaN,1
1681601940,2.000e-01,NaN,1
1681602000,2.000e-01,NaN,1
1681602060,2.000e-01,NaN,1
1681602120,2.000e-01,NaN,1
1681602180,2.000e-01,NaN,1
1681602240,NaN,NaN,1
1681602300,NaN,NaN,2
1681602360,NaN,NaN,2
1681602420,NaN,NaN,2
1681602480,NaN,NaN,2
1681602540,NaN,2.000e-01,2
1681602600,NaN,2.000e-01,2
1681602660,NaN,2.000e-01,2
1681602720,NaN,2.000e-01,2
1681602780,NaN,2.000e-01,2
1681602840,NaN,NaN,2
1681602900,NaN,NaN,1
1681602960,NaN,NaN,1
1681603020,NaN,NaN,1
1681603080,NaN,NaN,1
1681603140,2.000e-01,NaN,1
1681603200,2.000e-01,NaN,1
1681603260,2.000e-01,NaN,1
1681603320,2.000e-01,NaN,1
1681603380,2.000e-01,NaN,1
1681603440,NaN,NaN,1
1681603500,NaN,NaN,2
1681603560,NaN,NaN,2
1681603620,NaN,NaN,2
1681603680,NaN,NaN,2
1681603740,NaN,2.000e-01,2
1681603800,NaN,2.000e-01,2
1681603860,NaN,2.000e-01,2
1681603920,NaN,2.000e-01,2
1681603980,NaN,2.000e-01,2
1681604040,NaN,NaN,2
1681604100,NaN,NaN,1
1681604160,NaN,NaN,1
1681604220,NaN,NaN,1
1681604280,NaN,NaN,1
1681604340,2.000e-01,NaN,1
1681604400,2.000e-01,NaN,1
1681604460,2.000e-01,NaN,1
1681604520,2.000e-01,NaN,1
1681604580,2.000e-01,NaN,1
1681604640,NaN,NaN,1
1681604700,NaN,NaN,2
1681604760,NaN,NaN,2
1681604820,NaN,NaN,2
1681604880,NaN,2.000e-01,2
1681604940,NaN,2.000e-01,2
1681605000,NaN,2.000e-01,2
1681605060,NaN,2.000e-01,2
1681605120,NaN,2.000e-01,2
1681605180,NaN,2.000e-01,2
1681605240,NaN,NaN,2
1681605300,NaN,NaN,1
1681605360,NaN,NaN,1
1681605420,NaN,NaN,1
1681605480,NaN,NaN,1
1681605540,2.000e-01,NaN,1
1681605600,2.000e-01,NaN,1
1681605660,2.000e-01,NaN,1
1681605720,2.000e-01,NaN,1
1681605780,2.000e-01,NaN,1
1681605840,NaN,NaN,1
1681605900,NaN,NaN,2
1681605960,NaN,NaN,2
1681606020,NaN,NaN,2
1681606080,NaN,NaN,2
1681606140,NaN,2.000e-01,2
1681606200,NaN,2.000e-01,2
1681606260,NaN,2.000e-01,2
1681606320,NaN,2.000e-01,2
1681606380,NaN,2.000e-01,2
1681606440,NaN,NaN,2
1681606500,NaN,NaN,1
1681606560,NaN,NaN,1
1681606620,NaN,NaN,1
1681606680,NaN,NaN,1
1681606740,2.000e-01,NaN,1
1681606800,2.000e-01,NaN,1
1681606860,2.000e-01,NaN,1
1681606920,2.000e-01,NaN,1
1681606980,2.000e-01,NaN,1
1681607040,NaN,NaN,1
1681607100,NaN,NaN,2
1681607160,NaN,NaN,2
1681607220,NaN,NaN,2
1681607280,NaN,NaN,2
1681607340,NaN,2.000e-01,2
1681607400,NaN,2.000e-01,2
1681607460,NaN,2.000e-01,2
1681607520,NaN,2.000e-01,2
1681607580,NaN,2.000e-01,2
1681607640,NaN,NaN,2
1681607700,NaN,NaN,1
1681607760,NaN,NaN,1
1681607820,NaN,NaN,1
1681607880,NaN,NaN,1
1681607940,2.000e-01,NaN,1
1681608000,2.000e-01,NaN,1
1681608060,2.000e-01,NaN,1
1681608120,2.000e-01,NaN,1
1681608180,2.000e-01,NaN,1
1681608240,NaN,NaN,1
1681608300,NaN,NaN,2
1681608360,NaN,NaN,2
1681608420,NaN,NaN,2
1681608480,NaN,NaN,2
1681608540,NaN,2.000e-01,2
1681608600,NaN,2.000e-01,2
1681608660,NaN,2.000e-01,2
1681608720,NaN,2.000e-01,2
1681608780,NaN,2.000e-01,2
1681608840,NaN,NaN,2
1681608900,NaN,NaN,1
1681608960,NaN,NaN,1
1681609020,NaN,NaN,1
1681609080,NaN,NaN,1
1681609140,2.000e-01,NaN,1
1681609200,2.000e-01,NaN,1
1681609260,2.000e-01,NaN,1
1681609320,4.150e-01,NaN,1
1681609380,4.630e-01,NaN,1
1681609440,NaN,NaN,1
1681609500,NaN,NaN,2
1681609560,NaN,NaN,2
1681609620,NaN,NaN,2
1681609680,NaN,NaN,2
1681609740,NaN,2.000e-01,2
1681609800,NaN,2.000e-01,2
1681609860,NaN,2.000e-01,2
1681609920,NaN,2.000e-01,2
1681609980,NaN,2.000e-01,2
1681610040,NaN,NaN,2
1681610100,NaN,NaN,1
1681610160,NaN,NaN,1
