"day_mountain","ch4.day","co.day","co2.day","h2s.day","so2.day","nox.day","benzene.day","ethene.day","1_3-butadiene.day","ethane.day","total_radioactivity.day","wsp_ms.day","wdr_deg.day","wind_SE.day","wind_SW.day","wind_NW.day","wind_bin.day","ch4.night","co.night","co2.night","h2s.night","so2.night","nox.night","benzene.night","ethene.night","1_3-butadiene.night","ethane.night","total_radioactivity.night","wsp_ms.night","wdr_deg.night","wind_SE.night","wind_SW.night","wind_NW.night","wind_bin.night","closest.flare","distToLovi_flare","inv_dist_mean","inv_dist2_mean","weighted.count","weighted.count2","n_flare_50","n_flare_40","n_flare_30","n_flare_20","n_flare_10","n_flare_5","idw2_imputed_methane_eq","idw2_methane_eq","idw2_total_imputed_methane_eq","idw2_total_methane_eq","idw_total_imputed_methane_eq","idw_total_methane_eq","idw2_median_methane_eq_interp","idw2_median_imputed_methane_eq_interp","imputed_methane_eq_50","imputed_methane_eq_40","imputed_methane_eq_30","imputed_methane_eq_20","imputed_methane_eq_10","imputed_methane_eq_5","methane_eq_median","methane_eq","yearmonth","closest_well_5","mean_dist_well_5","weighted_count_wells_5","weighted_monthly_oil_5","weighted_monthly_gas_5","monthly_oil_5","monthly_gas_5","closest_well_10","mean_dist_well_10","weighted_count_wells_10","weighted_monthly_oil_10","weighted_monthly_gas_10","monthly_oil_10","monthly_gas_10","closest_well_20","mean_dist_well_20","weighted_count_wells_20","weighted_monthly_oil_20","weighted_monthly_gas_20","monthly_oil_20","monthly_gas_20","closest_well_30","mean_dist_well_30","weighted_count_wells_30","weighted_monthly_oil_30","weighted_monthly_gas_30","monthly_oil_30","monthly_gas_30","closest_well_40","mean_dist_well_40","weighted_count_wells_40","weighted_monthly_oil_40","weighted_monthly_gas_40","monthly_oil_40","monthly_gas_40","closest_well_50","mean_dist_well_50","weighted_count_wells_50","weighted_monthly_oil_50","weighted_monthly_gas_50","monthly_oil_50","monthly_gas_50","Factor1.day","Factor2.day","Factor3.day","Factor4.day","Factor5.day","Factor1.night","Factor2.night","Factor3.night","Factor4.night","Factor5.night","flare_wd_day_5","flare_wd_night_5","flare_wd_day_10","flare_wd_night_10","flare_wd_day_20","flare_wd_night_20","flare_wd_day_30","flare_wd_night_30","flare_wd_day_40","flare_wd_night_40","flare_wd_day_50","flare_wd_night_50"
2023-05-01,2349.88695652174,170.36,425.213913043478,1.02315201558884,0.567203921568627,9.18682608695652,0.451630434782609,0.375426086956522,0.0071,55.4326086956522,25.5304347826087,0.933593799156927,97.310773903032,0,0,0,"E",2276.65,158.921666666667,424.321666666667,1.27306045751634,0.358759259259259,13.5473333333333,0.3799,0.2944,0.0071,54.645,27.25,3.18922434641747,57.191108245382,0,0,0,"NE",5.33246185183919,34.3116932709903,0.0475341448216338,0.00479466484849462,114.081947571921,11.5071956363871,24,13,7,5,3,0,0.0924768715812606,0.00220235833526694,1.06414945312661,0.0253429682253445,9.88313091146438,1.13333060521425,0.0976766411095943,0.0926131785479194,0.0835380951539955,0.0729585215449333,NA,NA,NA,NA,0.090231185,NA,"2023-05",0.198707945017535,3.47459113951107,8088.2593100033,92083.5184296112,859900.261444589,234593,1894166,0.198707945017535,6.48191987102233,14512.5852622626,345928.199590967,2567259.4098431,2074874,14606015,0.198707945017535,11.9432029578653,22617.2744534806,636358.932322115,4054116.40317042,6223433,36180115,0.198707945017535,18.1856269502388,28660.2531221741,847530.863360654,5084603.76347958,11728497,62944311,0.198707945017535,25.7317800123667,35969.2128401657,1139226.4229125,6770432.4699761,22019408,122554154,0.198707945017535,33.3988863626527,44165.4650211349,1445495.55887082,8339057.72363134,35896893,193519097,0.0167266800807509,0.0429954680200445,0.00148429186955475,0.0167414781466246,0.0124147235607428,0.0161498194156208,0.0456202522684992,0.00223577852419646,0.015397525081027,0.0119039522062963,0,0,3,3,4,3,6,3,8,5,10,8
2023-05-02,3267.06818181818,218.268095238095,434.175454545455,2.01596710239651,0.789681402257873,22.2728636363636,1.61034090909091,1.12932272727273,0.0115045454545455,224.895454545455,32.4772727272727,1.61016474739005,92.7548764753652,0,0,0,"E",4436.28333333333,264.533333333333,441.998333333333,1.31458562091503,0.710175925925926,27.3601666666667,2.45033333333333,2.02133333333333,0.01619,411.056666666667,47.2666666666667,0.77803397441385,165.748922233132,1,0,0,"S",10.16431734741,34.4153495363059,0.0391739068354875,0.00224728216801608,58.7608602532313,3.37092325202412,15,6,5,3,0,0,0.039105744672635,0.00464843958869751,0.131822464004704,0.0156695330951699,2.67345536931324,0.730776398206785,0.0409762581285718,0.0340391456073468,0.041551957,0.037103222683072,NA,NA,NA,NA,0.041551957,NA,"2023-05",0.198707945017535,3.47459113951107,8088.2593100033,92083.5184296112,859900.261444589,234593,1894166,0.198707945017535,6.48191987102233,14512.5852622626,345928.199590967,2567259.4098431,2074874,14606015,0.198707945017535,11.9432029578653,22617.2744534806,636358.932322115,4054116.40317042,6223433,36180115,0.198707945017535,18.1856269502388,28660.2531221741,847530.863360654,5084603.76347958,11728497,62944311,0.198707945017535,25.7317800123667,35969.2128401657,1139226.4229125,6770432.4699761,22019408,122554154,0.198707945017535,33.3988863626527,44165.4650211349,1445495.55887082,8339057.72363134,35896893,193519097,0.0780291963422367,0.0606910129303184,0.0145236510873831,0.0422505919380287,0.049315603917263,0.173176424954204,0.0722485009517841,0.0169948176453627,0.0696937415853749,0.0911294287877387,0,0,0,0,1,0,3,0,3,0,6,4
2023-05-03,2441.32608695652,188.478695652174,430.858695652174,1.63951631758764,0.375119544411968,12.5838181818182,0.665852173913043,0.596495652173913,0.00944695652173913,72.9091304347826,23.9391304347826,1.19079792875128,195.951415952293,0,0,0,"S",2533.51666666667,169.591666666667,433.746666666667,1.61407777777778,0.231481481481481,15.2941666666667,0.602433333333333,0.495116666666667,0.0071,86.3666666666667,32.5,1.61457303612483,321.135292670144,0,0,1,"NW",43.0575359755726,45.5267697920357,0.0220299031047252,0.000486744261676858,4.40598062094503,0.0973488523353717,2,0,0,0,0,0,0.0517195810779837,0.0366532334837589,0.00503484186120792,0.00356815021402434,0.224031093797378,0.1536357562066,0.066151771,0.0517195810779837,0.0499693598851424,NA,NA,NA,NA,NA,0.066151771,NA,"2023-05",0.198707945017535,3.47459113951107,8088.2593100033,92083.5184296112,859900.261444589,234593,1894166,0.198707945017535,6.48191987102233,14512.5852622626,345928.199590967,2567259.4098431,2074874,14606015,0.198707945017535,11.9432029578653,22617.2744534806,636358.932322115,4054116.40317042,6223433,36180115,0.198707945017535,18.1856269502388,28660.2531221741,847530.863360654,5084603.76347958,11728497,62944311,0.198707945017535,25.7317800123667,35969.2128401657,1139226.4229125,6770432.4699761,22019408,122554154,0.198707945017535,33.3988863626527,44165.4650211349,1445495.55887082,8339057.72363134,35896893,193519097,0.0208544415436701,0.0561224554000959,0.0108426949555728,0.0250835616269411,0.0163397348761259,0.0188938829565914,0.0726200023324333,0.00245239344032127,0.0251781304991557,0.0241904456103195,0,0,0,0,0,0,0,0,0,0,1,0
2023-05-04,2435.53043478261,156.88347826087,435.198260869565,0.86722738196728,0.280877806194942,13.4577826086957,0.512071304347826,0.574970434782609,0.00886608695652174,97.6005652173913,18.9304347826087,3.20076501511577,238.718527755605,0,1,0,"SW",2936.8,194.005,464.443333333333,1.62269259259259,0.223627450980392,20.3296666666667,1.1553,0.73085,0.00897666666666667,240.746666666667,23.2666666666667,0.279431740533151,146.812598868572,1,0,0,"SE",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,"2023-05",0.198707945017535,3.47459113951107,8088.2593100033,92083.5184296112,859900.261444589,234593,1894166,0.198707945017535,6.48191987102233,14512.5852622626,345928.199590967,2567259.4098431,2074874,14606015,0.198707945017535,11.9432029578653,22617.2744534806,636358.932322115,4054116.40317042,6223433,36180115,0.198707945017535,18.1856269502388,28660.2531221741,847530.863360654,5084603.76347958,11728497,62944311,0.198707945017535,25.7317800123667,35969.2128401657,1139226.4229125,6770432.4699761,22019408,122554154,0.198707945017535,33.3988863626527,44165.4650211349,1445495.55887082,8339057.72363134,35896893,193519097,0.0344642507370216,0.06534900058185,0.00745414723232698,0.0265594520412283,0.0272746927518381,0.0756006830600362,0.142599995857051,0.0070772305716262,0.0306286576848397,0.0284273477666736,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-05,3199.03913043478,185.116086956522,434.427391304348,0.784202280154486,0.424556976413754,23.8235652173913,1.40232434782609,0.888730434782609,0.0128539130434783,212.100608695652,30.1130434782609,2.6305895313981,230.184225989616,0,1,0,"SW",4188.41666666667,222.501666666667,444.416666666667,0.997133333333333,0.531590958605665,27.5831666666667,1.44638333333333,1.05145,0.0128933333333333,336.016666666667,41.6,0.727164874752003,209.288390014387,0,0,0,"SW",5.65048832418755,30.2950121609065,0.0492306566037929,0.00398173397750445,152.615035471758,12.3433753302638,31,19,15,10,4,0,0.0933259376695391,0.00204499656735473,1.15195707670392,0.0252421601799605,13.9502425857232,1.0870357729377,0.0568596851109446,0.0926270428886881,0.067483626306057,0.088340774178505,NA,NA,NA,NA,0.05720173,NA,"2023-05",0.198707945017535,3.47459113951107,8088.2593100033,92083.5184296112,859900.261444589,234593,1894166,0.198707945017535,6.48191987102233,14512.5852622626,345928.199590967,2567259.4098431,2074874,14606015,0.198707945017535,11.9432029578653,22617.2744534806,636358.932322115,4054116.40317042,6223433,36180115,0.198707945017535,18.1856269502388,28660.2531221741,847530.863360654,5084603.76347958,11728497,62944311,0.198707945017535,25.7317800123667,35969.2128401657,1139226.4229125,6770432.4699761,22019408,122554154,0.198707945017535,33.3988863626527,44165.4650211349,1445495.55887082,8339057.72363134,35896893,193519097,0.0756100880560311,0.0590581584995833,0.0227172177693614,0.034923279211436,0.0404789419854082,0.128867202953803,0.101464693225578,0.0357795018673255,0.0439884164611072,0.0711063666164465,0,0,0,0,0,0,0,0,1,1,1,1
2023-05-06,2684.5,244.085909090909,427.828636363636,0.643657173980703,0.450223633392751,21.2830952380952,0.497687272727273,0.812195909090909,0.0118209090909091,111.287,21.6954545454545,3.20656733266428,253.261310113849,0,1,0,"W",3439.43333333333,305.015,433.431666666667,0.990744444444444,0.644902777777778,32.6618333333333,1.05281666666667,1.1356,0.014875,226.741666666667,31.1333333333333,1.85558550102007,226.083511989185,0,1,0,"SW",12.4394662193568,36.9724881227891,0.0325058218017037,0.00138108075065914,110.519794125793,4.69567455224108,34,15,9,5,0,0,0.124051066866988,0.00846160967862638,0.582503437865672,0.0397329652389227,12.0637392857393,1.76092588253833,0.0545727624757916,0.113176875008215,0.0866532288491726,0.108778685331345,NA,NA,NA,NA,0.054895985,NA,"2023-05",0.198707945017535,3.47459113951107,8088.2593100033,92083.5184296112,859900.261444589,234593,1894166,0.198707945017535,6.48191987102233,14512.5852622626,345928.199590967,2567259.4098431,2074874,14606015,0.198707945017535,11.9432029578653,22617.2744534806,636358.932322115,4054116.40317042,6223433,36180115,0.198707945017535,18.1856269502388,28660.2531221741,847530.863360654,5084603.76347958,11728497,62944311,0.198707945017535,25.7317800123667,35969.2128401657,1139226.4229125,6770432.4699761,22019408,122554154,0.198707945017535,33.3988863626527,44165.4650211349,1445495.55887082,8339057.72363134,35896893,193519097,0.0381097515741416,0.0365013174864067,0.0126614969986849,0.0268760469897847,0.0135375732113067,0.0909511353706083,0.0469909340920158,0.0199186211167582,0.0429677805660491,0.0333527532446944,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-07,3105.435,245.524,432.1175,0.771032152777778,0.338170196078431,28.57785,1.251635,1.3605675,0.013991,194.80105,26.2,2.25781594271928,219.749764144766,0,1,0,"SW",3686.15,407.801666666667,437.488333333333,1.08315347222222,0.326282352941176,50.1046666666667,1.54158333333333,2.05658333333333,0.02011,281.111666666667,37.7,0.40137028146027,154.74827495886,1,0,0,"SE",5.58665453984044,35.9907815470263,0.0445492546410511,0.00404125722121199,142.557614851364,12.9320231078784,32,15,7,7,4,0,0.0632046708573503,0.00334300186581766,0.8173642640531,0.0432317773784345,10.3981448689756,1.96918464768615,0.0628344926827428,0.0456632787117737,0.0665405584442673,0.0623744875192642,NA,NA,NA,NA,0.069866487,NA,"2023-05",0.198707945017535,3.47459113951107,8088.2593100033,92083.5184296112,859900.261444589,234593,1894166,0.198707945017535,6.48191987102233,14512.5852622626,345928.199590967,2567259.4098431,2074874,14606015,0.198707945017535,11.9432029578653,22617.2744534806,636358.932322115,4054116.40317042,6223433,36180115,0.198707945017535,18.1856269502388,28660.2531221741,847530.863360654,5084603.76347958,11728497,62944311,0.198707945017535,25.7317800123667,35969.2128401657,1139226.4229125,6770432.4699761,22019408,122554154,0.198707945017535,33.3988863626527,44165.4650211349,1445495.55887082,8339057.72363134,35896893,193519097,0.0646921523919361,0.0424763729858129,0.025987911669776,0.053626161676606,0.0343723477313268,0.127060433253343,0.0514624099315509,0.048610010393844,0.0712787873309946,0.055035205105189,0,0,0,0,0,0,0,0,0,4,0,10
2023-05-08,2169.05555555556,152.003333333333,424.087777777778,0.309846042120552,0.202641975308642,5.14844444444444,0.254397777777778,0.37051,0.0071,29.45,23.6888888888889,1.65039410939639,159.683259480092,1,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.909567894237,31.5533629472339,0.0461587348459709,0.00358540462687353,276.952409075825,21.5124277612412,60,33,26,16,5,1,0.0756345005137104,0.0273366600966161,1.62708172855875,0.588077925562059,20.8852994951775,6.81744472235229,0.061245741429228,0.0613313181427421,0.060487677851491,0.061381807,0.06522681,0.0633043085,0.092401625,0.06108836,0.06832977,NA,"2023-05",0.198707945017535,3.47459113951107,8088.2593100033,92083.5184296112,859900.261444589,234593,1894166,0.198707945017535,6.48191987102233,14512.5852622626,345928.199590967,2567259.4098431,2074874,14606015,0.198707945017535,11.9432029578653,22617.2744534806,636358.932322115,4054116.40317042,6223433,36180115,0.198707945017535,18.1856269502388,28660.2531221741,847530.863360654,5084603.76347958,11728497,62944311,0.198707945017535,25.7317800123667,35969.2128401657,1139226.4229125,6770432.4699761,22019408,122554154,0.198707945017535,33.3988863626527,44165.4650211349,1445495.55887082,8339057.72363134,35896893,193519097,0.00859601954773041,0.0374326301086357,0.000654610762194307,0.0161878485052784,0.00473243773358833,NA,NA,NA,NA,NA,0,0,0,0,1,0,3,0,3,0,14,0
2023-05-09,2432.14285714286,180.404285714286,425.594285714286,0.361377217553688,0.327065476190476,6.90469230769231,0.483057142857143,0.57845,0.00838857142857143,65.9340714285714,21.3571428571429,2.55001631507647,180.70390307695,1,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.27788972855636,32.7511622703315,0.0435967762339859,0.00365228908259575,100.272585338168,8.40026488997022,23,15,8,4,2,0,0.115030836183168,0.00199288461905397,0.966289494453382,0.0167407586952007,10.5854359650147,0.644828272030182,0.0630687074922058,0.126771981647333,0.0780009999871254,0.0656990185379982,0.037568958,NA,NA,NA,0.080260101,NA,"2023-05",0.198707945017535,3.47459113951107,8088.2593100033,92083.5184296112,859900.261444589,234593,1894166,0.198707945017535,6.48191987102233,14512.5852622626,345928.199590967,2567259.4098431,2074874,14606015,0.198707945017535,11.9432029578653,22617.2744534806,636358.932322115,4054116.40317042,6223433,36180115,0.198707945017535,18.1856269502388,28660.2531221741,847530.863360654,5084603.76347958,11728497,62944311,0.198707945017535,25.7317800123667,35969.2128401657,1139226.4229125,6770432.4699761,22019408,122554154,0.198707945017535,33.3988863626527,44165.4650211349,1445495.55887082,8339057.72363134,35896893,193519097,0.0173412519770935,0.0355227925040112,0.0057760634693683,0.0258648274119879,0.0103171631732549,NA,NA,NA,NA,NA,0,0,0,0,1,0,3,0,4,0,4,0
2023-05-10,2398.47222222222,172.331111111111,425.976111111111,0.539024282861293,0.360850622471211,10.4303888888889,0.387360555555556,0.673466111111111,0.0103177777777778,62.1605,21.2277777777778,3.53514778698351,180.810649298306,1,0,0,"S",2475.4,220.5225,429.315,0.488967320261438,0.2,14.47325,0.4832,0.9707,0.009735,69.355,19.925,3.53757195151121,160.07271196877,1,0,0,"S",5.5196366477337,32.3180462151933,0.0458436607235434,0.00370767851626105,197.127741111237,15.9430176199225,43,24,16,13,4,0,0.100958945592725,0.00649593804128278,1.60959024847361,0.103564854650096,18.6760090807106,2.73185293384615,0.0865195691492898,0.0822364516769202,0.0787085145711899,0.0839486680924892,0.086785128,0.089214523,NA,NA,0.0720565935,NA,"2023-05",0.198707945017535,3.47459113951107,8088.2593100033,92083.5184296112,859900.261444589,234593,1894166,0.198707945017535,6.48191987102233,14512.5852622626,345928.199590967,2567259.4098431,2074874,14606015,0.198707945017535,11.9432029578653,22617.2744534806,636358.932322115,4054116.40317042,6223433,36180115,0.198707945017535,18.1856269502388,28660.2531221741,847530.863360654,5084603.76347958,11728497,62944311,0.198707945017535,25.7317800123667,35969.2128401657,1139226.4229125,6770432.4699761,22019408,122554154,0.198707945017535,33.3988863626527,44165.4650211349,1445495.55887082,8339057.72363134,35896893,193519097,0.0165412437336154,0.0369887540194822,0.0126777000734212,0.0274348023335367,0.0195141584360756,0.0313133351772277,0.0408864719732993,0.0200883623647888,0.0508643422126574,0.0371529610755174,0,0,1,0,2,0,2,2,2,2,3,8
