"day_mountain","ch4.day","co.day","co2_ppm.day","h2s.day","so2.day","nox.day","benzene.day","ethene.day","ethane.day","rd_particle_B.day","radon_B.day","radioactivity_ratio.day","wsp_ms.day","co2.day","total_radioactivity.day","wdr_deg.day","wind_SE.day","wind_SW.day","wind_NW.day","wind_bin.day","ch4.night","co.night","co2_ppm.night","h2s.night","so2.night","nox.night","benzene.night","ethene.night","ethane.night","rd_particle_B.night","radon_B.night","radioactivity_ratio.night","wdr_deg.night","wsp_ms.night","co2.night","total_radioactivity.night","wind_SE.night","wind_SW.night","wind_NW.night","wind_bin.night","temp_bb","closest.flare","distToLovi_flare","inv_dist","weighted.count","rhi","esf_bb","n_flare_50","n_flare_30","n_flare_20","n_flare_10","n_flare_5","methane_eq","yearmonth","distToLovi_wells","inv_dist_wells","weighted_count_wells","weighted_monthly_oil","weighted_monthly_gas","monthly_oil","monthly_gas","Factor1.day","Factor2.day","Factor3.day","Factor4.day","Factor5.day","Factor1.night","Factor2.night","Factor3.night","Factor4.night","Factor5.night","flare_wd_day_5","flare_wd_night_5","methane_eq_5","flare_wd_day_10","flare_wd_night_10","methane_eq_10","flare_wd_day_20","flare_wd_night_20","methane_eq_20","flare_wd_day_30","flare_wd_night_30","methane_eq_30","flare_wd_day_50","flare_wd_night_50","methane_eq_50"
2023-05-01,2367.275,171.297916666667,425.49125,1.00391666666667,NA,9.17166666666667,0.451608695652174,0.375391304347826,55.4326086956522,7.72916666666667,18.8916666666667,5.42137244504139,2.90416666666667,425.49125,26.6208333333333,101.526609925265,0,0,0,"E",2334.31428571429,173.661428571429,425.58,1.253,NA,14.6057142857143,0.401857142857143,0.317,56.46,6.92857142857143,24.5428571428571,6.66568954854669,39.0285714285714,3.88857142857143,425.58,31.4714285714286,0,0,0,"NE",NA,5.33246168941676,34.9623278876335,0.0446360029737755,4.46360029737756,NA,NA,29,8,6,3,0,0.052128327180896,"2023-05",6.50752034871208,0.212704125621215,21.2704125621215,348848.906216011,2524796.44941603,2134661,14612847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,0,5,0,0.0594018804089552,7,0,0.0594018804089552,11,4,0.068958884641103
2023-05-02,3171.64166666667,214.995217391304,433.254583333333,1.90582608695652,NA,20.7983333333333,1.61040909090909,1.12927272727273,224.895454545455,9.54166666666667,21.8041666666667,7.01940348224652,2.86333333333333,433.254583333333,31.3458333333333,103.67221395502,0,0,0,"E",4445.52857142857,264.871428571429,442.964285714286,1.81366666666667,NA,29.8941428571429,2.87614285714286,1.98457142857143,441.505714285714,18,32.2857142857143,4.57539074169364,137.957142857143,2.15142857142857,442.964285714286,50.2857142857143,1,0,0,"SE",NA,3.22144175226066,35.9483305759801,0.0488961547869493,4.88961547869493,NA,NA,20,6,4,1,1,0.0321558325885695,"2023-05",6.50752034871208,0.212704125621215,21.2704125621215,348848.906216011,2524796.44941603,2134661,14612847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0202045704050812,0,0,0.0202045704050812,1,0,0.0202045704050812,3,0,0.0202045704050812,7,7,0.044512390624085
2023-05-03,2457.11666666667,187.325,430.850416666667,1.69909090909091,0.2,14.9776086956522,0.665826086956522,0.596434782608696,72.9091304347826,4.83333333333333,18.7416666666667,10.627205185523,3.36041666666667,430.850416666667,23.575,218.390569076081,0,1,0,"SW",2511.68571428571,175.692857142857,433.808571428571,2.7966,0.2,15.745,0.695285714285714,0.481,83.1685714285714,3.14285714285714,28.3428571428571,20.8681245225363,273.814285714286,2.42142857142857,433.808571428571,31.4857142857143,0,0,0,"W",1794,43.0575359039735,45.526769979169,0.0220299030272599,2.20299030272599,0.6863825,1.146708e-06,2,0,0,0,0,0.0661517706389426,"2023-05",6.50752034871208,0.212704125621215,21.2704125621215,348848.906216011,2524796.44941603,2134661,14612847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661517706389426
2023-05-04,2420.3,157.988333333333,434.657916666667,0.836833333333333,NA,13.5736666666667,0.512,0.57504347826087,97.6005652173913,6.1875,12.8291666666667,3.70727129930255,3.665,434.657916666667,19.0166666666667,244.342114891438,0,1,0,"SW",2836.57142857143,183.99,459.46,1.53742857142857,NA,20.3215714285714,1.01414285714286,0.674857142857143,213.431428571429,8.78571428571429,15.3714285714286,4.91377234697432,244.557142857143,1.37,459.46,24.1571428571429,0,1,0,"SW",NA,40.6648692893232,40.6648692893232,0.0245912508136982,2.45912508136982,NA,NA,1,0,0,0,0,0.0229370266413688,"2023-05",6.50752034871208,0.212704125621215,21.2704125621215,348848.906216011,2524796.44941603,2134661,14612847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229370266413688
2023-05-05,3147.92083333333,182.73125,433.892916666667,0.731608695652174,NA,22.8811666666667,1.4024347826087,0.888695652173913,212.100608695652,10.7041666666667,18.6958333333333,3.99535912767939,3.31916666666667,433.892916666667,29.4,225.156590123745,0,1,0,"SW",4349.35714285714,217.944285714286,446.801428571429,1.0055,NA,34.2572857142857,2.10685714285714,1.19357142857143,375.428571428571,14.9285714285714,30.2571428571429,5.56819116509593,210.757142857143,1.46,446.801428571429,45.1857142857143,0,0,0,"SW",NA,6.52149876433168,33.44253078876,0.0419226313513575,4.19226313513575,NA,NA,40,16,10,4,0,0.0527951617847094,"2023-05",6.50752034871208,0.212704125621215,21.2704125621215,348848.906216011,2524796.44941603,2134661,14612847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0.0338797338207496,1,1,0.0338797338207496,1,1,0.0338797338207496,3,3,0.0502225828151188
2023-05-06,2633.2625,241.983333333333,427.445,0.684681818181818,0.25,20.0534347826087,0.497636363636364,0.812181818181818,111.287,6.4375,14.2791666666667,4.6367930272521,3.88875,427.445,20.7166666666667,243.663802413291,0,1,0,"SW",3535.31428571429,286.712857142857,434.28,1.0984,0.25,33.1018571428571,1.13342857142857,1.118,232.192857142857,8,22.4571428571429,6.68226742451367,208.014285714286,2.14428571428571,434.28,30.4571428571429,0,0,0,"SW",NA,12.4394661763847,36.9332046671345,0.0323745980291319,3.23745980291319,NA,NA,40,10,6,0,0,0.0523708555853592,"2023-05",6.50752034871208,0.212704125621215,21.2704125621215,348848.906216011,2524796.44941603,2134661,14612847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.0268437829734137,0,0,0.0268437829734137,0,0,0.0608036998282547
2023-05-07,2954.42916666667,237.372083333333,431.492916666667,0.678130434782609,NA,25.0069583333333,1.25165,1.3606,194.80105,8.02083333333333,18.4541666666667,5.12597023108053,3.13166666666667,431.492916666667,26.475,221.436145658952,0,1,0,"SW",4046.35714285714,382.858571428571,438.944285714286,1.03542857142857,NA,52.2672857142857,2.054,2.02342857142857,386.524285714286,13.2857142857143,24.9857142857143,2.14145730561428,174.985714285714,1.71857142857143,438.944285714286,38.2714285714286,1,0,0,"S",NA,3.20572481758137,33.6647250724983,0.0532521489223601,5.32521489223601,NA,NA,39,11,11,5,1,0.0426118816741963,"2023-05",6.50752034871208,0.212704125621215,21.2704125621215,348848.906216011,2524796.44941603,2134661,14612847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.0115760845372414,0,1,0.0115760845372414,0,2,0.0194912783824165,0,2,0.0194912783824165,0,7,0.0506568533217917
2023-05-08,2868.5,188.410416666667,431.971666666667,0.763913043478261,NA,15.9278333333333,0.254444444444444,0.370333333333333,29.45,10.2291666666667,28.5958333333333,5.26600147727652,2.1625,431.971666666667,38.825,227.462281471142,0,1,0,"SW",3781.31428571429,235.745714285714,442.3,1.1625,NA,28.8114285714286,NA,NA,NA,13.9285714285714,45.7,4.62833025003376,276.257142857143,1.70428571428571,442.3,59.6285714285714,0,0,0,"W",NA,3.42179320863396,31.0291583632472,0.0486107719109518,4.86107719109518,NA,NA,71,31,21,7,1,0.0600831186242668,"2023-05",6.50752034871208,0.212704125621215,21.2704125621215,348848.906216011,2524796.44941603,2134661,14612847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0137851728434752,0,0,0.076926562160273,0,1,0.052157936816337,0,1,0.0675061628908657,0,1,0.0637172781746547
2023-05-09,2839.47916666667,208.153333333333,430.882083333333,0.608954545454545,0.2,14.8714347826087,0.483142857142857,0.578571428571429,65.9340714285714,12.2708333333333,21.4708333333333,4.4559172702943,2.81333333333333,430.882083333333,33.7416666666667,191.521413301942,1,0,0,"S",3528.61428571429,239.278571428571,437.587142857143,1.089,0.2,23.5744285714286,NA,NA,NA,20.5,33.8857142857143,2.16097998010124,227.357142857143,1.98571428571429,437.587142857143,54.3857142857143,0,1,0,"SW",NA,3.30697604858319,33.5496423193199,0.0473684697547692,4.73684697547692,NA,NA,33,10,6,3,1,0.0283995699266271,"2023-05",6.50752034871208,0.212704125621215,21.2704125621215,348848.906216011,2524796.44941603,2134661,14612847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.0014747344015371,1,0,0.0014747344015371,2,0,0.0151217982274558,4,0,0.0226041848038859,4,0,0.0378540735369605
2023-05-10,2551.29166666667,188.713333333333,427.8175,0.620130434782609,0.2,15.9194583333333,0.479263157894737,0.832631578947368,75.4046842105263,9.72916666666667,13.25,4.04668963301739,4.58916666666667,427.8175,22.9791666666667,173.952349046926,1,0,0,"S",2991.17142857143,245.382857142857,432.884285714286,0.728571428571429,NA,26.7337142857143,0.6554,1.196,112.644,8.21428571428571,16.0285714285714,7.40109483109483,160.442857142857,3.06714285714286,432.884285714286,24.2428571428571,1,0,0,"S",NA,5.5196365852545,32.7347763693333,0.0448728112977909,4.48728112977909,NA,NA,45,16,13,4,0,0.06478824424941,"2023-05",6.50752034871208,0.212704125621215,21.2704125621215,348848.906216011,2524796.44941603,2134661,14612847,0.0156559043371676,0.0302304297445167,0.0108762595451236,0.00711660626250113,0.00349936187384227,NA,NA,NA,NA,NA,0,0,0,1,0,0,2,0,0.0892145233474025,2,2,0.0803776536445311,7,8,0.065106224985244
