"Compound","Radius","Wind Direction","Adj R-sq","Significant_Variables"
"benzene",30,"SE",0.39,"wsp_ms.night, weighted_monthly_oil, wind_SE.night"
"benzene",30,"SW",0.39,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SW.night"
"benzene",30,"NW",0.38,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"benzene",30,"SE,SW",0.39,"(Intercept), wsp_ms.night, weighted_monthly_oil"
"benzene",30,"SE,NW",0.39,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, wind_NW.night"
"benzene",30,"SW,NW",0.39,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SW.night"
"benzene",30,"SE,SW,NW",0.4,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SE.night"
"benzene",50,"SE",0.39,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_50"
"benzene",50,"SW",0.39,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_50"
"benzene",50,"NW",0.38,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"benzene",50,"SE,SW",0.4,"wsp_ms.night, weighted_monthly_oil, n_flare_50"
"benzene",50,"SE,NW",0.4,"wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_50"
"benzene",50,"SW,NW",0.39,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SW.night, n_flare_50"
"benzene",50,"SE,SW,NW",0.4,"(Intercept), wsp_ms.night, weighted_monthly_oil, wind_SE.night, n_flare_50"
"co",5,"SE",0.33,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"co",5,"SW",0.3,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",5,"NW",0.3,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, n_flare_5"
"co",5,"SE,SW",0.33,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"co",5,"SE,NW",0.33,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"co",5,"SW,NW",0.31,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night, wind_NW.night, n_flare_5"
"co",5,"SE,SW,NW",0.33,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night, n_flare_5"
"co",10,"SE",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",10,"SW",0.3,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",10,"NW",0.3,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",10,"SE,SW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",10,"SE,NW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",10,"SW,NW",0.31,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night"
"co",10,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",20,"SE",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",20,"SW",0.3,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",20,"NW",0.3,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",20,"SE,SW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",20,"SE,NW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",20,"SW,NW",0.3,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night"
"co",20,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",30,"SE",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",30,"SW",0.3,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",30,"NW",0.3,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",30,"SE,SW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",30,"SE,NW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",30,"SW,NW",0.3,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night"
"co",30,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",50,"SE",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",50,"SW",0.3,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",50,"NW",0.3,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas"
"co",50,"SE,SW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",50,"SE,NW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co",50,"SW,NW",0.3,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SW.night"
"co",50,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night, weighted_monthly_oil, weighted_monthly_gas, wind_SE.night"
"co2",5,"SE",0.32,"(Intercept), wsp_ms.night"
"co2",5,"SW",0.32,"(Intercept), wsp_ms.night"
"co2",5,"NW",0.32,"(Intercept), wsp_ms.night"
"co2",5,"SE,SW",0.32,"(Intercept), wsp_ms.night"
"co2",5,"SE,NW",0.32,"(Intercept), wsp_ms.night"
"co2",5,"SW,NW",0.32,"(Intercept), wsp_ms.night"
"co2",5,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night"
"co2",10,"SE",0.32,"(Intercept), wsp_ms.night"
"co2",10,"SW",0.32,"(Intercept), wsp_ms.night"
"co2",10,"NW",0.32,"(Intercept), wsp_ms.night"
"co2",10,"SE,SW",0.32,"(Intercept), wsp_ms.night"
"co2",10,"SE,NW",0.32,"(Intercept), wsp_ms.night"
"co2",10,"SW,NW",0.32,"(Intercept), wsp_ms.night"
"co2",10,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night"
"co2",20,"SE",0.32,"(Intercept), wsp_ms.night"
"co2",20,"SW",0.32,"(Intercept), wsp_ms.night"
"co2",20,"NW",0.32,"(Intercept), wsp_ms.night"
"co2",20,"SE,SW",0.32,"(Intercept), wsp_ms.night"
"co2",20,"SE,NW",0.32,"(Intercept), wsp_ms.night"
"co2",20,"SW,NW",0.32,"(Intercept), wsp_ms.night"
"co2",20,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night"
"co2",30,"SE",0.32,"(Intercept), wsp_ms.night"
"co2",30,"SW",0.32,"(Intercept), wsp_ms.night"
"co2",30,"NW",0.32,"(Intercept), wsp_ms.night"
"co2",30,"SE,SW",0.32,"(Intercept), wsp_ms.night"
"co2",30,"SE,NW",0.32,"(Intercept), wsp_ms.night"
"co2",30,"SW,NW",0.32,"(Intercept), wsp_ms.night"
"co2",30,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night"
"co2",50,"SE",0.33,"(Intercept), wsp_ms.night, n_flare_50"
"co2",50,"SW",0.33,"(Intercept), wsp_ms.night, n_flare_50"
"co2",50,"NW",0.33,"(Intercept), wsp_ms.night"
"co2",50,"SE,SW",0.32,"(Intercept), wsp_ms.night, n_flare_50"
"co2",50,"SE,NW",0.33,"(Intercept), wsp_ms.night"
"co2",50,"SW,NW",0.33,"(Intercept), wsp_ms.night"
"co2",50,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night"
"nox",5,"SE",0.31,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_5"
"nox",5,"SW",0.29,"(Intercept), wsp_ms.night"
"nox",5,"NW",0.3,"(Intercept), wsp_ms.night"
"nox",5,"SE,SW",0.32,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_5"
"nox",5,"SE,NW",0.32,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_5"
"nox",5,"SW,NW",0.29,"(Intercept), wsp_ms.night"
"nox",5,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_5"
"nox",10,"SE",0.32,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_10"
"nox",10,"SW",0.3,"(Intercept), wsp_ms.night, n_flare_10"
"nox",10,"NW",0.3,"(Intercept), wsp_ms.night, n_flare_10"
"nox",10,"SE,SW",0.32,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_10"
"nox",10,"SE,NW",0.32,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_10"
"nox",10,"SW,NW",0.3,"(Intercept), wsp_ms.night, n_flare_10"
"nox",10,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_10"
"nox",20,"SE",0.31,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",20,"SW",0.29,"(Intercept), wsp_ms.night"
"nox",20,"NW",0.29,"(Intercept), wsp_ms.night"
"nox",20,"SE,SW",0.31,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",20,"SE,NW",0.31,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",20,"SW,NW",0.29,"(Intercept), wsp_ms.night"
"nox",20,"SE,SW,NW",0.31,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",30,"SE",0.31,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",30,"SW",0.28,"(Intercept), wsp_ms.night"
"nox",30,"NW",0.29,"(Intercept), wsp_ms.night"
"nox",30,"SE,SW",0.31,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",30,"SE,NW",0.31,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",30,"SW,NW",0.29,"(Intercept), wsp_ms.night"
"nox",30,"SE,SW,NW",0.31,"(Intercept), wsp_ms.night, wind_SE.night"
"nox",50,"SE",0.32,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_50"
"nox",50,"SW",0.29,"(Intercept), wsp_ms.night, n_flare_50"
"nox",50,"NW",0.3,"(Intercept), wsp_ms.night, n_flare_50"
"nox",50,"SE,SW",0.32,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_50"
"nox",50,"SE,NW",0.32,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_50"
"nox",50,"SW,NW",0.3,"(Intercept), wsp_ms.night, n_flare_50"
"nox",50,"SE,SW,NW",0.32,"(Intercept), wsp_ms.night, wind_SE.night, n_flare_50"
"h2s",5,"SE",0.1,"wsp_ms.night, n_flare_5"
"h2s",5,"SW",0.11,"wsp_ms.night, wind_SW.night, n_flare_5"
"h2s",5,"NW",0.18,"wsp_ms.night, wind_NW.night"
"h2s",5,"SE,SW",0.13,"wsp_ms.night, wind_SE.night, wind_SW.night, n_flare_5"
"h2s",5,"SE,NW",0.17,"wsp_ms.night, wind_NW.night"
"h2s",5,"SW,NW",0.19,"wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",5,"SE,SW,NW",0.19,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",10,"SE",0.1,"wsp_ms.night, n_flare_10"
"h2s",10,"SW",0.11,"wsp_ms.night, wind_SW.night, n_flare_10"
"h2s",10,"NW",0.18,"(Intercept), wsp_ms.night, wind_NW.night"
"h2s",10,"SE,SW",0.13,"(Intercept), wsp_ms.night, wind_SE.night, wind_SW.night, n_flare_10"
"h2s",10,"SE,NW",0.18,"(Intercept), wsp_ms.night, wind_NW.night"
"h2s",10,"SW,NW",0.19,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",10,"SE,SW,NW",0.19,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
"h2s",20,"SE",0.08,"wsp_ms.night, wind_SE.night"
"h2s",20,"SW",0.09,"wsp_ms.night, wind_SW.night"
"h2s",20,"NW",0.17,"wsp_ms.night, wind_NW.night"
"h2s",20,"SE,SW",0.12,"(Intercept), wsp_ms.night, wind_SE.night, wind_SW.night"
"h2s",20,"SE,NW",0.17,"wsp_ms.night, wind_NW.night"
"h2s",20,"SW,NW",0.18,"(Intercept), wsp_ms.night, wind_SW.night, wind_NW.night"
