rd,tz=0,v=1.6
time,radon_B,rd_particle_B,radon_pCi,rd_particle_pCi
1704067200,1.742e+01,1.000e+00,4.707e-01,2.705e-02
1704067800,2.487e+01,9.501e+00,6.721e-01,2.568e-01
1704068400,1.283e+01,1.250e+01,3.467e-01,3.379e-01
1704069000,1.298e+01,1.000e+00,3.508e-01,2.705e-02
1704069600,2.428e+01,2.000e+01,6.561e-01,5.406e-01
1704070200,1.074e+01,1.000e+00,2.903e-01,2.705e-02
1704070800,1.741e+01,1.000e+01,4.704e-01,2.703e-01
1704071400,8.636e+00,1.650e+01,2.334e-01,4.460e-01
1704072000,2.198e+01,1.000e+00,5.939e-01,2.705e-02
1704072600,4.529e+01,1.250e+01,1.224e+00,3.379e-01
1704073200,3.354e+01,3.000e+00,9.066e-01,8.109e-02
1704073800,1.704e+01,1.550e+01,4.604e-01,4.190e-01
1704074400,3.363e+01,3.994e+00,9.088e-01,1.079e-01
1704075000,1.930e+01,1.200e+01,5.217e-01,3.244e-01
1704075600,1.950e+01,2.500e+00,5.271e-01,6.758e-02
1704076200,2.994e+01,8.501e+00,8.091e-01,2.298e-01
1704076800,1.270e+01,9.501e+00,3.432e-01,2.568e-01
1704077400,1.060e+01,1.700e+01,2.866e-01,4.595e-01
1704078000,1.959e+01,7.501e+00,5.295e-01,2.027e-01
1704078600,2.669e+01,1.000e+00,7.213e-01,2.705e-02
1704079200,1.503e+01,1.800e+01,4.063e-01,4.866e-01
1704079800,1.269e+01,9.501e+00,3.429e-01,2.568e-01
1704080400,1.741e+01,1.000e+00,4.706e-01,2.705e-02
1704081000,3.934e+01,1.150e+01,1.063e+00,3.109e-01
1704081600,1.647e+01,1.000e+00,4.451e-01,2.705e-02
1704082200,4.153e+01,1.700e+01,1.122e+00,4.595e-01
1704082800,4.366e+01,9.501e+00,1.180e+00,2.568e-01
1704083400,3.283e+01,1.550e+01,8.872e-01,4.190e-01
1704084000,3.542e+01,4.501e+00,9.573e-01,1.216e-01
1704084600,4.810e+01,7.501e+00,1.300e+00,2.027e-01
1704085200,3.012e+01,1.400e+01,8.141e-01,3.784e-01
1704085800,2.361e+01,2.200e+01,6.381e-01,5.947e-01
1704086400,4.539e+01,4.001e+00,1.227e+00,1.081e-01
1704087000,2.552e+01,1.300e+01,6.898e-01,3.514e-01
1704087600,2.568e+01,1.550e+01,6.941e-01,4.190e-01
1704088200,4.880e+01,1.100e+01,1.319e+00,2.973e-01
1704088800,3.497e+01,3.000e+00,9.451e-01,8.109e-02
