ch4,co2,co,h2s,so2,nox,ethane,ethene,propane,propene,1_3-butadiene,i-butane,n-butane,acetylene,cyclopentane,i-pentane,n-pentane,n-hexane,isoprene,n-heptane,benzene,n-octane,toluene,ethyl-benzene,m&p-xylene,o-xylene,time_utc
0.052516025819350505,0.23712719582200364,0.07186527504170388,0.06341818181818182,0.08928145142038672,0.08051062627226041,0.0997418259452298,0.14174375409716658,0.10569307135128884,0.06341728574017033,0.011666666666666667,0.07096252086389156,0.10793224405701098,0.1103880738286796,0.07395020438498699,0.07787027643044765,0.06773536561329739,0.05883046198680037,0.030812324929971987,0.06594236197728616,0.1225893880954863,0.09208800815969692,0.12509643998677394,0.12405609492988132,0.1410708560436037,0.16122004357298472,2023-11-02 17:05:00
0.04712372149789237,0.2183521084207346,0.06508253086495282,0.04810909090909091,0.03950823585581285,0.06232033806249917,0.09265126687893015,0.12287857819214801,0.09776423267837822,0.050190251857220515,0.008333333333333333,0.0645558309308246,0.09220970587303864,0.10234264079507809,0.06480862133036046,0.06355537642627826,0.061706543204628275,0.05571269392303077,0.0028011204481792717,0.06374318912886497,0.1093505681225894,0.08888241293894797,0.11319299019067562,0.10679611650485435,0.12055145880089771,0.14596949891067537,2023-11-02 18:05:00
0.03556611200426995,0.1914843109327117,0.05337281436979211,0.03781818181818182,0.02948197660539508,0.04805335876750255,0.06904844697330258,0.08340010197392381,0.07359779313990271,0.0356948722594673,0.003333333333333333,0.04759496231854737,0.06855138419810398,0.06814955040227165,0.04934968413229283,0.04687782302336247,0.045938853828108986,0.04382017656638382,0.0028011204481792717,0.05392896999934354,0.07599291149796726,0.07533148768760017,0.08641022814945443,0.07982740021574972,0.08945174735492144,0.10457516339869281,2023-11-02 19:05:00
0.01942971924577933,0.1473520652596143,0.037095044069483364,0.02389090909090909,0.019097636667462402,0.030962568497838534,0.03544599616527025,0.03860441401413067,0.03725728255572901,0.01703207102736003,0.003333333333333333,0.02370138081027768,0.03429338926880883,0.04176526265972551,0.024749163879598662,0.023093778809315336,0.022623542551505848,0.020720836547527214,0.0028011204481792717,0.028326659226678923,0.0399249452725946,0.041672737869736264,0.04585032514052683,0.03559870550161812,0.04296248797691568,0.049019607843137254,2023-11-02 20:05:00
0.008994207761246462,0.10537787560965053,0.030663061167056173,0.011927272727272727,0.00871329672952972,0.012820852486234196,0.015781836124552955,0.03598222740185009,0.01613023117520256,0.009784381228483421,0.0016666666666666666,0.010375465749498424,0.014908468375157646,0.035967818267865596,0.010628019323671497,0.00965445035879903,0.009209412692217022,0.007092654495585841,0.0028011204481792717,0.006991400249458413,0.02043156468258105,0.008305405799213171,0.013336272456739776,0,0,0,2023-11-02 21:05:00
0.08635351467122887,0.2944235832362209,0.07118414559040055,0.048072727272727274,0.00214848412508952,0.07799811893123501,0.20163218841849453,0.15266953164833563,0.2446129322662438,0.07791266533792354,0.03749999999999999,0.19444303946858196,0.257277728205004,0.164339801230478,0.15964325529542922,0.17219110623138253,0.1583222869333003,0.12595354418445187,0.030812324929971987,0.12174227007155519,0.18086104451162308,0.15401427946961968,0.21679709026782762,0.192017259978425,0.2577749278614941,0.3311546840958605,2023-11-03 13:05:00
0.09019981729127473,0.4379343087746554,0.09537443766034072,0.08127272727272727,0.10038195273334924,0.16701550336252077,0.158991703074583,0.23810911209847763,0.1875418122351892,0.12157999637615513,0.05249999999999999,0.13664795238817798,0.18648904917764048,0.2511831519167061,0.15986622073578596,0.14022579554246056,0.13014913606201955,0.12477500642838775,0.05042016806722689,0.16378914199435438,0.3213801730428438,0.246247996502987,0.34707373525845914,0.36461704422869473,0.4309073420968259,0.5446623093681917,2023-11-03 14:05:00
0.08400957660779733,0.541197289481635,0.1265350904026005,0.17509090909090907,0.12162807352590119,0.2284063461784719,0.14456775757669948,0.29040716731007354,0.15632200996060358,0.16216705924986413,0.06999999999999998,0.11118978975941193,0.15588225979817774,0.2670373876005679,0.14202898550724638,0.11914722110266424,0.11252642440590975,0.12070369418016626,0.07282913165266107,0.17206065778244606,0.30793286771604295,0.2787410753314877,0.3457511297255593,0.3581445523193096,0.4427701186277653,0.5435729847494554,2023-11-03 15:05:00
0.06717810647145403,0.40977167767275247,0.11093029231465733,0.11938181818181817,0.15278109333969922,0.2159939417221935,0.12081924125190133,0.2839973778133877,0.13815175466851673,0.1449537959775322,0.03749999999999999,0.09658928059615936,0.14211572458732993,0.2566256507335542,0.12159048680787812,0.10863109715138121,0.10166681481080703,0.0997685780406274,0.030812324929971987,0.12932449287730585,0.24455332012926093,0.21069503132740783,0.26132480987545464,0.221143473570658,0.309073420968259,0.38344226579520696,2023-11-03 16:05:00
0.05913640407297888,0.3157883378652507,0.10385388753614676,0.08552727272727272,0.06564812604440201,0.11742328904431992,0.1099891407602245,0.20707990385315753,0.12320259008729983,0.0998369269795253,0.020833333333333332,0.0802016421357881,0.11611019934464586,0.17368670137245626,0.09520624303233,0.08542150199899008,0.07902008448080627,0.07435501842804491,0.030812324929971987,0.09321866999277884,0.18878348795997082,0.15110010199621154,0.21315992505235312,0.2071197411003236,0.24078230201987816,0.29520697167755994,2023-11-03 17:05:00
0.04616682125125211,0.24489619750528702,0.058271236351919595,0.04170909090909091,0.00620673191692528,0.061507857656965474,0.09347687992089655,0.14174375409716658,0.09982903441611536,0.0643232469650299,0.009166666666666665,0.0636454065719151,0.09060764629505094,0.1103880738286796,0.06837606837606838,0.06443558063365437,0.059812874627546295,0.0510092568783749,0.0028011204481792717,0.054158734326790525,0.12384030021890964,0.0738743989508961,0.12752121679709028,0.11542610571736785,0.12119268996473227,0.15468409586056642,2023-11-03 18:05:00
0.050253128167686574,0.24295394708446602,0.07898654463437214,0.04585454545454546,0.02482692766770112,0.08923375149580291,0.10542398629288088,0.1622842158933644,0.11643004038752199,0.07320166696865375,0.010833333333333332,0.07993188677018528,0.11236585079609321,0.1651680075721723,0.084429580081754,0.08088150135041855,0.07805392704351956,0.07415145281563384,0.0028011204481792717,0.08639138712006829,0.14531429167101012,0.12050123852542619,0.15309159043315332,0.10032362459546924,0.149406861173453,0.1633986928104575,2023-11-03 19:05:00
