ch4,co2,co,h2s,so2,nox,ethane,ethene,propane,propene,1_3-butadiene,i-butane,n-butane,acetylene,cyclopentane,i-pentane,n-pentane,n-hexane,isoprene,n-heptane,benzene,n-octane,toluene,ethyl-benzene,m&p-xylene,o-xylene,time_utc
0.07407596441644994,0.09819208542123521,0.0952463613670421,0.8,0.8,0.1,0.052,0.10261091559868278,0.034,0.036,0.028,0.028,0.013114759725055642,0.086,0.013191078666598733,0.010143737316807198,0.010145624535550936,0.009168066911692816,0.012608567511958164,0.008138209081275981,0.009517629036369485,0.008345111416087675,0.008989473435761723,0.008375915823102612,0.0085949036937826,0.008862064913498901,2023-04-16 02:05:00
0.10716455293156349,0.10579589627838233,0.07601568346426162,0.8,0.8,0.1,0.052,0.046,0.017215845966808127,0.036,0.028,0.014103056689751708,0.013219129072013017,0.043227080867104535,0.013268004414346276,0.010157814080735392,0.010121508596259866,0.009107952991925143,0.012747815451988257,0.008189060970911315,0.011055936039006843,0.008730927768512801,0.010254148707686388,0.012006964654836758,0.00969835533910584,0.010902737477317983,2023-04-16 06:05:00
0.07858811795285918,0.10684249526937362,0.07505726574685158,0.8,0.8,0.1,0.052,0.046,0.017365214376188848,0.036,0.028,0.014256180817738972,0.013506900228479968,0.04328753924693031,0.013232100298512427,0.01029492568433308,0.010226465314151076,0.009134735604137483,0.01247405612158962,0.008144912306002122,0.009994784152750971,0.00834097617490611,0.008774368203245574,0.008408501902403834,0.008335341083867479,0.008320638799466337,2023-04-16 10:05:00
0.1272554046501076,0.10425481647743057,0.09085772286942655,0.8,0.8,0.1,0.02678074557906778,0.046,0.02036995409084821,0.036,0.028,0.016414506689144178,0.017407774438048678,0.04414159139273643,0.014674713093990118,0.012588866148390651,0.012093304359565602,0.010274421042058243,0.011423396766106906,0.009242261757650439,0.01376401594493659,0.009696166552650492,0.011995779754763545,0.00947133059555661,0.010292920243170191,0.009802368310750159,2023-04-16 14:05:00
0.05318363031174899,0.08190305175649423,0.09001776063534159,0.8,0.8,0.1,0.052,0.040721830886710136,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.011678129152386,0.016,0.018,0.008068495459062297,0.016,0.016,0.016,0.016,2023-04-16 00:05:00
0.09965944609926358,0.11336560032121351,0.08682343251312676,0.8,0.8,0.1,0.052,0.046,0.017146323421336204,0.036,0.028,0.014090901464378677,0.013170132599216636,0.0432834692717399,0.013110938191999565,0.010109219702028587,0.010086562186262403,0.009068578837425822,0.01247405612158962,0.008117912247740673,0.009381399371681762,0.008602180032682488,0.008623091858070992,0.008756293641370724,0.008768952242749506,0.008770540478276608,2023-04-16 11:05:00
0.07549304892685076,0.09589886019808229,0.07929824440773635,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.011173391388694477,0.016,0.009170801015218706,0.008248833013704295,0.008162415169351414,0.008141305138635514,0.008102142285956876,0.016,2023-04-16 17:05:00
0.08427231761367185,0.09572289238092488,0.08627560797067711,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.011502114462215178,0.016,0.00915899174962125,0.00822456472583294,0.008121534406827845,0.008072403523935826,0.016,0.016,2023-04-16 23:05:00
0.09188094357452324,0.10156806028370877,0.08369605090925815,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.04321987167678418,0.026,0.02,0.02,0.018,0.01135104734221508,0.00804031701275191,0.009646232050405707,0.008278020061081042,0.008501483001502198,0.008314560184449886,0.008206082407333686,0.008291351669054972,2023-04-16 16:05:00
0.06658620521067275,0.09533461989447234,0.08933553965659574,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.022,0.016,0.009083669766707972,0.008188850647358699,0.008088072772328543,0.008072403523935826,0.008043313360503165,0.016,2023-04-16 18:05:00
0.08664309400642532,0.10150164119454716,0.08350700352019162,0.8,0.8,0.1,0.052,0.046,0.01728092870060828,0.036,0.028,0.014193565916279766,0.013396971346480263,0.04334305934485235,0.013209122720006081,0.010244559516826646,0.01019734687997715,0.009125898829398215,0.011502114462215178,0.008127574228022773,0.009759095400713522,0.008361885836840395,0.008681862028692977,0.0083445971431662,0.008317563540633085,0.00818765949462739,2023-04-16 15:05:00
0.07045283922220327,0.10043296217602533,0.07338812580151444,0.8,0.8,0.1,0.052,0.046,0.017163140596274808,0.036,0.028,0.01411752350500228,0.01323145363628388,0.04328077191403657,0.013126904437295457,0.010134560005939453,0.010105858824834389,0.009071100026727289,0.011986481425399667,0.008086318000552244,0.00949082921985304,0.008423509527777484,0.008524086813956989,0.008314560184449886,0.00844115924695993,0.008351244226157453,2023-04-16 09:05:00
